"categoria","codigoproduto","totalvendido"
"Bolsas, Decoração e Presentes","22718",1536
"Bolsas, Decoração e Presentes","21484",1534
"Bolsas, Decoração e Presentes","22075",1534
"Bolsas, Decoração e Presentes","85053",1530
"Bolsas, Decoração e Presentes","22779",1528
"Bolsas, Decoração e Presentes","21294",1527
"Bolsas, Decoração e Presentes","79163",1517
"Bolsas, Decoração e Presentes","85184C",1515
"Bolsas, Decoração e Presentes","22974",1512
"Bolsas, Decoração e Presentes","22751",1508
"Bolsas, Decoração e Presentes","22715",1506
"Bolsas, Decoração e Presentes","82001S",1505
"Bolsas, Decoração e Presentes","17038",1501
"Bolsas, Decoração e Presentes","21398",1499
"Bolsas, Decoração e Presentes","22115",1490
"Bolsas, Decoração e Presentes","22896",1485
"Bolsas, Decoração e Presentes","22599",1485
"Bolsas, Decoração e Presentes","22922",1482
"Bolsas, Decoração e Presentes","22502",1482
"Bolsas, Decoração e Presentes","22130",1469
"Bolsas, Decoração e Presentes","23302",1464
"Bolsas, Decoração e Presentes","22733",1462
"Bolsas, Decoração e Presentes","47599B",1451
"Bolsas, Decoração e Presentes","23169",1450
"Bolsas, Decoração e Presentes","22456",1446
"Bolsas, Decoração e Presentes","22948",1444
"Bolsas, Decoração e Presentes","21824",1439
"Bolsas, Decoração e Presentes","22300",1436
"Bolsas, Decoração e Presentes","16048",1434
"Bolsas, Decoração e Presentes","22543",1434
"Bolsas, Decoração e Presentes","37342",1431
"Bolsas, Decoração e Presentes","84818",1423
"Bolsas, Decoração e Presentes","48116",1418
"Bolsas, Decoração e Presentes","22191",1416
"Bolsas, Decoração e Presentes","23431",1415
"Bolsas, Decoração e Presentes","22478",1411
"Bolsas, Decoração e Presentes","22576",1409
"Bolsas, Decoração e Presentes","84030E",1408
"Bolsas, Decoração e Presentes","21158",1406
"Bolsas, Decoração e Presentes","85132C",1402
"Bolsas, Decoração e Presentes","23160",1392
"Bolsas, Decoração e Presentes","22562",1390
"Bolsas, Decoração e Presentes","22099",1388
"Bolsas, Decoração e Presentes","21162",1387
"Bolsas, Decoração e Presentes","22400",1382
"Bolsas, Decoração e Presentes","85111",1377
"Bolsas, Decoração e Presentes","22672",1376
"Bolsas, Decoração e Presentes","22692",1376
"Bolsas, Decoração e Presentes","22185",1375
"Bolsas, Decoração e Presentes","21705",1372
"Bolsas, Decoração e Presentes","21883",1368
"Bolsas, Decoração e Presentes","37327",1367
"Bolsas, Decoração e Presentes","72802C",1366
"Bolsas, Decoração e Presentes","85062",1362
"Bolsas, Decoração e Presentes","23162",1362
"Bolsas, Decoração e Presentes","22109",1361
"Bolsas, Decoração e Presentes","20674",1359
"Bolsas, Decoração e Presentes","79030G",1358
"Bolsas, Decoração e Presentes","22505",1356
"Bolsas, Decoração e Presentes","22350",1355
"Bolsas, Decoração e Presentes","23197",1352
"Bolsas, Decoração e Presentes","22096",1348
"Bolsas, Decoração e Presentes","21870",1346
"Bolsas, Decoração e Presentes","22349",1337
"Bolsas, Decoração e Presentes","22433",1335
"Bolsas, Decoração e Presentes","22780",1335
"Bolsas, Decoração e Presentes","22709",1325
"Bolsas, Decoração e Presentes","22319",1322
"Bolsas, Decoração e Presentes","21439",1320
"Bolsas, Decoração e Presentes","22299",1316
"Bolsas, Decoração e Presentes","22746",1313
"Bolsas, Decoração e Presentes","23549",1300
"Bolsas, Decoração e Presentes","16236",1296
"Bolsas, Decoração e Presentes","22897",1294
"Bolsas, Decoração e Presentes","22274",1294
"Bolsas, Decoração e Presentes","22117",1290
"Bolsas, Decoração e Presentes","21402",1290
"Bolsas, Decoração e Presentes","21934",1288
"Bolsas, Decoração e Presentes","21718",1286
"Bolsas, Decoração e Presentes","22477",1280
"Bolsas, Decoração e Presentes","16016",1273
"Bolsas, Decoração e Presentes","23432",1272
"Bolsas, Decoração e Presentes","22078",1272
"Bolsas, Decoração e Presentes","22923",1269
"Bolsas, Decoração e Presentes","84535B",1268
"Bolsas, Decoração e Presentes","85230B",1264
"Bolsas, Decoração e Presentes","21700",1263
"Bolsas, Decoração e Presentes","21872",1263
"Bolsas, Decoração e Presentes","23281",1261
"Bolsas, Decoração e Presentes","16238",1259
"Bolsas, Decoração e Presentes","85048",1259
"Bolsas, Decoração e Presentes","22674",1258
"Bolsas, Decoração e Presentes","20829",1252
"Bolsas, Decoração e Presentes","22707",1250
"Bolsas, Decoração e Presentes","21015",1248
"Bolsas, Decoração e Presentes","84598",1248
"Bolsas, Decoração e Presentes","11001",1247
"Bolsas, Decoração e Presentes","21112",1245
"Bolsas, Decoração e Presentes","22572",1241
"Bolsas, Decoração e Presentes","23426",1228
"Bolsas, Decoração e Presentes","22050",1225
"Bolsas, Decoração e Presentes","23543",1224
"Bolsas, Decoração e Presentes","21561",1224
"Bolsas, Decoração e Presentes","10125",1223
"Bolsas, Decoração e Presentes","22737",1220
"Bolsas, Decoração e Presentes","85071B",1219
"Bolsas, Decoração e Presentes","22665",1218
"Bolsas, Decoração e Presentes","23102",1215
"Bolsas, Decoração e Presentes","23433",1215
"Bolsas, Decoração e Presentes","21014",1214
"Bolsas, Decoração e Presentes","21206",1214
"Bolsas, Decoração e Presentes","84012",1209
"Bolsas, Decoração e Presentes","23534",1205
"Bolsas, Decoração e Presentes","22902",1204
"Bolsas, Decoração e Presentes","22207",1199
"Bolsas, Decoração e Presentes","21788",1198
"Bolsas, Decoração e Presentes","16012",1196
"Bolsas, Decoração e Presentes","22245",1195
"Bolsas, Decoração e Presentes","22501",1192
"Bolsas, Decoração e Presentes","22420",1188
"Bolsas, Decoração e Presentes","22043",1188
"Bolsas, Decoração e Presentes","22973",1185
"Bolsas, Decoração e Presentes","85049C",1184
"Bolsas, Decoração e Presentes","22187",1179
"Bolsas, Decoração e Presentes","22429",1176
"Bolsas, Decoração e Presentes","22784",1176
"Bolsas, Decoração e Presentes","22396",1176
"Bolsas, Decoração e Presentes","23691",1175
"Bolsas, Decoração e Presentes","22924",1170
"Bolsas, Decoração e Presentes","22717",1170
"Bolsas, Decoração e Presentes","16054",1166
"Bolsas, Decoração e Presentes","22675",1165
"Bolsas, Decoração e Presentes","21591",1164
"Bolsas, Decoração e Presentes","85194S",1163
"Bolsas, Decoração e Presentes","21201",1162
"Bolsas, Decoração e Presentes","22080",1159
"Bolsas, Decoração e Presentes","21163",1157
"Bolsas, Decoração e Presentes","84826",1156
"Bolsas, Decoração e Presentes","21955",1155
"Bolsas, Decoração e Presentes","85172",1152
"Bolsas, Decoração e Presentes","22380",1151
"Bolsas, Decoração e Presentes","22857",1142
"Bolsas, Decoração e Presentes","21209",1142
"Bolsas, Decoração e Presentes","23113",1138
"Bolsas, Decoração e Presentes","85014A",1132
"Bolsas, Decoração e Presentes","22399",1130
"Bolsas, Decoração e Presentes","21903",1127
"Bolsas, Decoração e Presentes","21259",1123
"Bolsas, Decoração e Presentes","23535",1122
"Bolsas, Decoração e Presentes","22023",1119
"Bolsas, Decoração e Presentes","22758",1119
"Bolsas, Decoração e Presentes","22975",1114
"Bolsas, Decoração e Presentes","22776",1114
"Bolsas, Decoração e Presentes","22306",1114
"Bolsas, Decoração e Presentes","21159",1108
"Bolsas, Decoração e Presentes","79191C",1105
"Bolsas, Decoração e Presentes","48111",1103
"Bolsas, Decoração e Presentes","22550",1102
"Bolsas, Decoração e Presentes","21641",1102
"Bolsas, Decoração e Presentes","21803",1101
"Bolsas, Decoração e Presentes","85230E",1101
"Bolsas, Decoração e Presentes","20963",1094
"Bolsas, Decoração e Presentes","22736",1091
"Bolsas, Decoração e Presentes","22795",1091
"Bolsas, Decoração e Presentes","22545",1088
"Bolsas, Decoração e Presentes","23126",1081
"Bolsas, Decoração e Presentes","85035C",1080
"Bolsas, Decoração e Presentes","21714",1079
"Bolsas, Decoração e Presentes","22479",1078
"Bolsas, Decoração e Presentes","20970",1078
"Bolsas, Decoração e Presentes","23548",1075
"Bolsas, Decoração e Presentes","35954",1073
"Bolsas, Decoração e Presentes","22731",1071
"Bolsas, Decoração e Presentes","22581",1070
"Bolsas, Decoração e Presentes","22653",1063
"Bolsas, Decoração e Presentes","22654",1055
"Bolsas, Decoração e Presentes","22532",1055
"Bolsas, Decoração e Presentes","23505",1055
"Bolsas, Decoração e Presentes","21890",1054
"Bolsas, Decoração e Presentes","21679",1054
"Bolsas, Decoração e Presentes","22311",1046
"Bolsas, Decoração e Presentes","22344",1046
"Bolsas, Decoração e Presentes","85034C",1044
"Bolsas, Decoração e Presentes","22982",1044
"Bolsas, Decoração e Presentes","22930",1039
"Bolsas, Decoração e Presentes","84596L",1038
"Bolsas, Decoração e Presentes","22676",1038
"Bolsas, Decoração e Presentes","23530",1037
"Bolsas, Decoração e Presentes","23509",1037
"Bolsas, Decoração e Presentes","22076",1034
"Bolsas, Decoração e Presentes","23389",1033
"Bolsas, Decoração e Presentes","85230G",1032
"Bolsas, Decoração e Presentes","22286",1025
"Bolsas, Decoração e Presentes","17084N",1025
"Bolsas, Decoração e Presentes","22170",1023
"Bolsas, Decoração e Presentes","20961",1023
"Bolsas, Decoração e Presentes","22582",1023
"Bolsas, Decoração e Presentes","21879",1022
"Bolsas, Decoração e Presentes","22976",1020
"Bolsas, Decoração e Presentes","21884",1017
"Bolsas, Decoração e Presentes","21397",1016
"Bolsas, Decoração e Presentes","23012",1011
"Bolsas, Decoração e Presentes","21200",1010
"Bolsas, Decoração e Presentes","21245",1010
"Bolsas, Decoração e Presentes","22757",1008
"Bolsas, Decoração e Presentes","90057",1008
"Bolsas, Decoração e Presentes","21401",1005
"Bolsas, Decoração e Presentes","46000M",1005
"Bolsas, Decoração e Presentes","22049",1000
"Bolsas, Decoração e Presentes","22074",999
"Bolsas, Decoração e Presentes","23096",993
"Bolsas, Decoração e Presentes","20828",993
"Bolsas, Decoração e Presentes","23080",993
"Bolsas, Decoração e Presentes","22837",990
"Bolsas, Decoração e Presentes","22441",986
"Bolsas, Decoração e Presentes","22129",986
"Bolsas, Decoração e Presentes","22340",980
"Bolsas, Decoração e Presentes","21207",977
"Bolsas, Decoração e Presentes","21881",975
"Bolsas, Decoração e Presentes","22048",975
"Bolsas, Decoração e Presentes","85183B",975
"Bolsas, Decoração e Presentes","22051",975
"Bolsas, Decoração e Presentes","85071A",972
"Bolsas, Decoração e Presentes","23404",969
"Bolsas, Decoração e Presentes","72802B",968
"Bolsas, Decoração e Presentes","22422",966
"Bolsas, Decoração e Presentes","84926E",966
"Bolsas, Decoração e Presentes","23255",962
"Bolsas, Decoração e Presentes","22345",961
"Bolsas, Decoração e Presentes","23531",958
"Bolsas, Decoração e Presentes","47421",951
"Bolsas, Decoração e Presentes","47504H",948
"Bolsas, Decoração e Presentes","21634",948
"Bolsas, Decoração e Presentes","85017B",945
"Bolsas, Decoração e Presentes","84817",945
"Bolsas, Decoração e Presentes","84828",944
"Bolsas, Decoração e Presentes","21896",943
"Bolsas, Decoração e Presentes","22949",935
"Bolsas, Decoração e Presentes","20751",931
"Bolsas, Decoração e Presentes","22937",930
"Bolsas, Decoração e Presentes","21654",930
"Bolsas, Decoração e Presentes","21745",925
"Bolsas, Decoração e Presentes","21340",924
"Bolsas, Decoração e Presentes","22230",922
"Bolsas, Decoração e Presentes","21033",921
"Bolsas, Decoração e Presentes","21773",920
"Bolsas, Decoração e Presentes","21291",920
"Bolsas, Decoração e Presentes","22671",918
"Bolsas, Decoração e Presentes","22753",916
"Bolsas, Decoração e Presentes","22522",913
"Bolsas, Decoração e Presentes","22262",913
"Bolsas, Decoração e Presentes","85206A",912
"Bolsas, Decoração e Presentes","20803",911
"Bolsas, Decoração e Presentes","84821",911
"Bolsas, Decoração e Presentes","22192",907
"Bolsas, Decoração e Presentes","21636",907
"Bolsas, Decoração e Presentes","22977",902
"Bolsas, Decoração e Presentes","85194L",900
"Bolsas, Decoração e Presentes","23123",899
"Bolsas, Decoração e Presentes","20733",896
"Bolsas, Decoração e Presentes","21619",893
"Bolsas, Decoração e Presentes","21817",891
"Bolsas, Decoração e Presentes","23526",881
"Bolsas, Decoração e Presentes","22438",880
"Bolsas, Decoração e Presentes","22360",878
"Bolsas, Decoração e Presentes","48129",877
"Bolsas, Decoração e Presentes","22346",876
"Bolsas, Decoração e Presentes","22933",874
"Bolsas, Decoração e Presentes","22677",874
"Bolsas, Decoração e Presentes","22412",873
"Bolsas, Decoração e Presentes","22932",872
"Bolsas, Decoração e Presentes","21208",869
"Bolsas, Decoração e Presentes","22284",869
"Bolsas, Decoração e Presentes","22747",869
"Bolsas, Decoração e Presentes","21292",865
"Bolsas, Decoração e Presentes","23013",864
"Bolsas, Decoração e Presentes","22743",862
"Bolsas, Decoração e Presentes","22686",859
"Bolsas, Decoração e Presentes","22801",857
"Bolsas, Decoração e Presentes","22231",855
"Bolsas, Decoração e Presentes","22847",851
"Bolsas, Decoração e Presentes","22228",851
"Bolsas, Decoração e Presentes","22523",843
"Bolsas, Decoração e Presentes","85230A",840
"Bolsas, Decoração e Presentes","16033",840
"Bolsas, Decoração e Presentes","22587",840
"Bolsas, Decoração e Presentes","22175",839
"Bolsas, Decoração e Presentes","20801",838
"Bolsas, Decoração e Presentes","22101",837
"Bolsas, Decoração e Presentes","22269",837
"Bolsas, Decoração e Presentes","21400",837
"Bolsas, Decoração e Presentes","21774",835
"Bolsas, Decoração e Presentes","21107",835
"Bolsas, Decoração e Presentes","22580",834
"Bolsas, Decoração e Presentes","22342",833
"Bolsas, Decoração e Presentes","22768",832
"Bolsas, Decoração e Presentes","84006",831
"Bolsas, Decoração e Presentes","23541",829
"Bolsas, Decoração e Presentes","47518F",827
"Bolsas, Decoração e Presentes","22744",826
"Bolsas, Decoração e Presentes","23347",825
"Bolsas, Decoração e Presentes","10002",823
"Bolsas, Decoração e Presentes","21615",823
"Bolsas, Decoração e Presentes","22267",822
"Bolsas, Decoração e Presentes","22821",822
"Bolsas, Decoração e Presentes","23461",819
"Bolsas, Decoração e Presentes","22566",818
"Bolsas, Decoração e Presentes","22044",816
"Bolsas, Decoração e Presentes","22529",814
"Bolsas, Decoração e Presentes","22285",813
"Bolsas, Decoração e Presentes","35095A",811
"Bolsas, Decoração e Presentes","84819",811
"Bolsas, Decoração e Presentes","22476",810
"Bolsas, Decoração e Presentes","85213",809
"Bolsas, Decoração e Presentes","22598",806
"Bolsas, Decoração e Presentes","21556",804
"Bolsas, Decoração e Presentes","23014",794
"Bolsas, Decoração e Presentes","21789",793
"Bolsas, Decoração e Presentes","22586",792
"Bolsas, Decoração e Presentes","22650",791
"Bolsas, Decoração e Presentes","22627",789
"Bolsas, Decoração e Presentes","21111",787
"Bolsas, Decoração e Presentes","23566",784
"Bolsas, Decoração e Presentes","85040A",783
"Bolsas, Decoração e Presentes","21832",778
"Bolsas, Decoração e Presentes","79051A",775
"Bolsas, Decoração e Presentes","21756",775
"Bolsas, Decoração e Presentes","22434",774
"Bolsas, Decoração e Presentes","85177",774
"Bolsas, Decoração e Presentes","23222",773
"Bolsas, Decoração e Presentes","35095B",772
"Bolsas, Decoração e Presentes","23146",771
"Bolsas, Decoração e Presentes","84792",770
"Bolsas, Decoração e Presentes","23184",770
"Bolsas, Decoração e Presentes","21658",768
"Bolsas, Decoração e Presentes","15056P",767
"Bolsas, Decoração e Presentes","22673",767
"Bolsas, Decoração e Presentes","21677",766
"Bolsas, Decoração e Presentes","23118",765
"Bolsas, Decoração e Presentes","22800",764
"Bolsas, Decoração e Presentes","21383",763
"Bolsas, Decoração e Presentes","22444",762
"Bolsas, Decoração e Presentes","22767",761
"Bolsas, Decoração e Presentes","23393",761
"Bolsas, Decoração e Presentes","16225",760
"Bolsas, Decoração e Presentes","21922",757
"Bolsas, Decoração e Presentes","21355",756
"Bolsas, Decoração e Presentes","21530",755
"Bolsas, Decoração e Presentes","22820",755
"Bolsas, Decoração e Presentes","21684",752
"Bolsas, Decoração e Presentes","21354",751
"Bolsas, Decoração e Presentes","22678",750
"Bolsas, Decoração e Presentes","22287",748
"Bolsas, Decoração e Presentes","22778",747
"Bolsas, Decoração e Presentes","21447",746
"Bolsas, Decoração e Presentes","22854",745
"Bolsas, Decoração e Presentes","21452",742
"Bolsas, Decoração e Presentes","23223",741
"Bolsas, Decoração e Presentes","79066K",739
"Bolsas, Decoração e Presentes","23282",738
"Bolsas, Decoração e Presentes","22304",738
"Bolsas, Decoração e Presentes","22547",736
"Bolsas, Decoração e Presentes","21586",731
"Bolsas, Decoração e Presentes","21109",731
"Bolsas, Decoração e Presentes","22365",729
"Bolsas, Decoração e Presentes","22968",728
"Bolsas, Decoração e Presentes","22100",727
"Bolsas, Decoração e Presentes","70007",727
"Bolsas, Decoração e Presentes","21503",726
"Bolsas, Decoração e Presentes","20956",726
"Bolsas, Decoração e Presentes","22307",725
"Bolsas, Decoração e Presentes","22040",725
"Bolsas, Decoração e Presentes","22366",722
"Bolsas, Decoração e Presentes","22258",722
"Bolsas, Decoração e Presentes","22483",722
"Bolsas, Decoração e Presentes","22680",717
"Bolsas, Decoração e Presentes","23390",714
"Bolsas, Decoração e Presentes","85036C",713
"Bolsas, Decoração e Presentes","22424",711
"Bolsas, Decoração e Presentes","23127",709
"Bolsas, Decoração e Presentes","23695",703
"Bolsas, Decoração e Presentes","21616",702
"Bolsas, Decoração e Presentes","84926D",702
"Bolsas, Decoração e Presentes","16161G",700
"Bolsas, Decoração e Presentes","22688",700
"Bolsas, Decoração e Presentes","22354",700
"Bolsas, Decoração e Presentes","22520",698
"Bolsas, Decoração e Presentes","84660B",695
"Bolsas, Decoração e Presentes","37413",693
"Bolsas, Decoração e Presentes","22863",691
"Bolsas, Decoração e Presentes","47480",690
"Bolsas, Decoração e Presentes","22695",689
"Bolsas, Decoração e Presentes","21713",686
"Bolsas, Decoração e Presentes","21905",684
"Bolsas, Decoração e Presentes","22305",684
"Bolsas, Decoração e Presentes","22481",684
"Bolsas, Decoração e Presentes","23395",682
"Bolsas, Decoração e Presentes","21110",678
"Bolsas, Decoração e Presentes","22696",677
"Bolsas, Decoração e Presentes","21318",676
"Bolsas, Decoração e Presentes","22935",673
"Bolsas, Decoração e Presentes","21249",672
"Bolsas, Decoração e Presentes","22092",666
"Bolsas, Decoração e Presentes","22735",665
"Bolsas, Decoração e Presentes","16015",662
"Bolsas, Decoração e Presentes","23110",660
"Bolsas, Decoração e Presentes","35598D",660
"Bolsas, Decoração e Presentes","79190B",655
"Bolsas, Decoração e Presentes","85183A",651
"Bolsas, Decoração e Presentes","20802",648
"Bolsas, Decoração e Presentes","22679",646
"Bolsas, Decoração e Presentes","21648",646
"Bolsas, Decoração e Presentes","79337",644
"Bolsas, Decoração e Presentes","22426",643
"Bolsas, Decoração e Presentes","22664",642
"Bolsas, Decoração e Presentes","21463",642
"Bolsas, Decoração e Presentes","84660C",639
"Bolsas, Decoração e Presentes","84032B",639
"Bolsas, Decoração e Presentes","22316",637
"Bolsas, Decoração e Presentes","16169M",635
"Bolsas, Decoração e Presentes","44234",632
"Bolsas, Decoração e Presentes","22242",631
"Bolsas, Decoração e Presentes","22337",631
"Bolsas, Decoração e Presentes","23529",629
"Bolsas, Decoração e Presentes","22846",626
"Bolsas, Decoração e Presentes","22742",624
"Bolsas, Decoração e Presentes","22232",623
"Bolsas, Decoração e Presentes","21927",621
"Bolsas, Decoração e Presentes","22575",617
"Bolsas, Decoração e Presentes","22681",616
"Bolsas, Decoração e Presentes","22682",616
"Bolsas, Decoração e Presentes","84341B",615
"Bolsas, Decoração e Presentes","35964",615
"Bolsas, Decoração e Presentes","23536",613
"Bolsas, Decoração e Presentes","22480",612
"Bolsas, Decoração e Presentes","90058B",612
"Bolsas, Decoração e Presentes","22689",612
"Bolsas, Decoração e Presentes","21864",607
"Bolsas, Decoração e Presentes","85071C",603
"Bolsas, Decoração e Presentes","35810A",601
"Bolsas, Decoração e Presentes","72225C",600
"Bolsas, Decoração e Presentes","84926A",597
"Bolsas, Decoração e Presentes","22990",597
"Bolsas, Decoração e Presentes","21882",595
"Bolsas, Decoração e Presentes","23403",594
"Bolsas, Decoração e Presentes","22254",594
"Bolsas, Decoração e Presentes","22521",593
"Bolsas, Decoração e Presentes","23396",592
"Bolsas, Decoração e Presentes","22110",589
"Bolsas, Decoração e Presentes","20966",589
"Bolsas, Decoração e Presentes","22524",587
"Bolsas, Decoração e Presentes","23564",587
"Bolsas, Decoração e Presentes","23392",585
"Bolsas, Decoração e Presentes","85114A",585
"Bolsas, Decoração e Presentes","47567B",584
"Bolsas, Decoração e Presentes","22081",582
"Bolsas, Decoração e Presentes","22942",580
"Bolsas, Decoração e Presentes","23568",580
"Bolsas, Decoração e Presentes","22057",578
"Bolsas, Decoração e Presentes","22181",577
"Bolsas, Decoração e Presentes","22683",575
"Bolsas, Decoração e Presentes","21059",573
"Bolsas, Decoração e Presentes","84763",573
"Bolsas, Decoração e Presentes","23052",571
"Bolsas, Decoração e Presentes","22687",568
"Bolsas, Decoração e Presentes","23525",567
"Bolsas, Decoração e Presentes","22190",566
"Bolsas, Decoração e Presentes","22926",564
"Bolsas, Decoração e Presentes","22856",564
"Bolsas, Decoração e Presentes","21012",563
"Bolsas, Decoração e Presentes","23559",563
"Bolsas, Decoração e Presentes","35957",558
"Bolsas, Decoração e Presentes","23515",557
"Bolsas, Decoração e Presentes","23553",557
"Bolsas, Decoração e Presentes","85035B",557
"Bolsas, Decoração e Presentes","23091",557
"Bolsas, Decoração e Presentes","23513",556
"Bolsas, Decoração e Presentes","35598B",554
"Bolsas, Decoração e Presentes","22756",554
"Bolsas, Decoração e Presentes","84422",551
"Bolsas, Decoração e Presentes","22796",549
"Bolsas, Decoração e Presentes","85203",549
"Bolsas, Decoração e Presentes","21577",549
"Bolsas, Decoração e Presentes","85054",547
"Bolsas, Decoração e Presentes","22685",543
"Bolsas, Decoração e Presentes","22255",542
"Bolsas, Decoração e Presentes","21822",542
"Bolsas, Decoração e Presentes","22313",539
"Bolsas, Decoração e Presentes","22430",538
"Bolsas, Decoração e Presentes","23152",537
"Bolsas, Decoração e Presentes","22361",536
"Bolsas, Decoração e Presentes","22947",536
"Bolsas, Decoração e Presentes","44235",534
"Bolsas, Decoração e Presentes","21866",533
"Bolsas, Decoração e Presentes","23418",533
"Bolsas, Decoração e Presentes","22233",533
"Bolsas, Decoração e Presentes","22781",532
"Bolsas, Decoração e Presentes","17013D",532
"Bolsas, Decoração e Presentes","22063",531
"Bolsas, Decoração e Presentes","85049D",529
"Bolsas, Decoração e Presentes","72803A",528
"Bolsas, Decoração e Presentes","23358",527
"Bolsas, Decoração e Presentes","22583",527
"Bolsas, Decoração e Presentes","23511",522
"Bolsas, Decoração e Presentes","22310",522
"Bolsas, Decoração e Presentes","21675",519
"Bolsas, Decoração e Presentes","21115",517
"Bolsas, Decoração e Presentes","22364",515
"Bolsas, Decoração e Presentes","85132B",513
"Bolsas, Decoração e Presentes","22458",513
"Bolsas, Decoração e Presentes","22314",512
"Bolsas, Decoração e Presentes","22251",512
"Bolsas, Decoração e Presentes","51008",511
"Bolsas, Decoração e Presentes","21373",507
"Bolsas, Decoração e Presentes","22105",506
"Bolsas, Decoração e Presentes","22592",506
"Bolsas, Decoração e Presentes","47422",505
"Bolsas, Decoração e Presentes","22116",505
"Bolsas, Decoração e Presentes","16049",504
"Bolsas, Decoração e Presentes","84976",502
"Bolsas, Decoração e Presentes","22120",502
"Bolsas, Decoração e Presentes","21794",501
"Bolsas, Decoração e Presentes","85094",501
"Bolsas, Decoração e Presentes","22626",501
"Bolsas, Decoração e Presentes","85169A",500
"Bolsas, Decoração e Presentes","21062",500
"Bolsas, Decoração e Presentes","84827",498
"Bolsas, Decoração e Presentes","22312",498
"Bolsas, Decoração e Presentes","84754",497
"Bolsas, Decoração e Presentes","82567",495
"Bolsas, Decoração e Presentes","21272",494
"Bolsas, Decoração e Presentes","21471",493
"Bolsas, Decoração e Presentes","85174",493
"Bolsas, Decoração e Presentes","21640",492
"Bolsas, Decoração e Presentes","22229",491
"Bolsas, Decoração e Presentes","21643",490
"Bolsas, Decoração e Presentes","75131",488
"Bolsas, Decoração e Presentes","23058",486
"Bolsas, Decoração e Presentes","21116",486
"Bolsas, Decoração e Presentes","22265",486
"Bolsas, Decoração e Presentes","21257",486
"Bolsas, Decoração e Presentes","22176",485
"Bolsas, Decoração e Presentes","23542",484
"Bolsas, Decoração e Presentes","23512",484
"Bolsas, Decoração e Presentes","21063",483
"Bolsas, Decoração e Presentes","21065",480
"Bolsas, Decoração e Presentes","84520B",480
"Bolsas, Decoração e Presentes","85039B",479
"Bolsas, Decoração e Presentes","84849D",478
"Bolsas, Decoração e Presentes","22905",476
"Bolsas, Decoração e Presentes","22038",475
"Bolsas, Decoração e Presentes","16156L",475
"Bolsas, Decoração e Presentes","22279",474
"Bolsas, Decoração e Presentes","85186A",472
"Bolsas, Decoração e Presentes","37482P",471
"Bolsas, Decoração e Presentes","23112",471
"Bolsas, Decoração e Presentes","84596J",469
"Bolsas, Decoração e Presentes","21894",469
"Bolsas, Decoração e Presentes","82613D",469
"Bolsas, Decoração e Presentes","22468",467
"Bolsas, Decoração e Presentes","16052",467
"Bolsas, Decoração e Presentes","21617",466
"Bolsas, Decoração e Presentes","23524",465
"Bolsas, Decoração e Presentes","23075",465
"Bolsas, Decoração e Presentes","22541",465
"Bolsas, Decoração e Presentes","22247",465
"Bolsas, Decoração e Presentes","22719",463
"Bolsas, Decoração e Presentes","23528",462
"Bolsas, Decoração e Presentes","22684",462
"Bolsas, Decoração e Presentes","85034A",462
"Bolsas, Decoração e Presentes","84313C",461
"Bolsas, Decoração e Presentes","20840",461
"Bolsas, Decoração e Presentes","22953",459
"Bolsas, Decoração e Presentes","23050",459
"Bolsas, Decoração e Presentes","23514",458
"Bolsas, Decoração e Presentes","22525",458
"Bolsas, Decoração e Presentes","21520",457
"Bolsas, Decoração e Presentes","21801",457
"Bolsas, Decoração e Presentes","79030D",456
"Bolsas, Decoração e Presentes","75178",455
"Bolsas, Decoração e Presentes","84625A",455
"Bolsas, Decoração e Presentes","85132A",453
"Bolsas, Decoração e Presentes","22445",453
"Bolsas, Decoração e Presentes","22358",453
"Bolsas, Decoração e Presentes","23081",453
"Bolsas, Decoração e Presentes","20839",452
"Bolsas, Decoração e Presentes","20986",452
"Bolsas, Decoração e Presentes","85159A",451
"Bolsas, Decoração e Presentes","21202",448
"Bolsas, Decoração e Presentes","22482",448
"Bolsas, Decoração e Presentes","20886",448
"Bolsas, Decoração e Presentes","23400",447
"Bolsas, Decoração e Presentes","84032A",446
"Bolsas, Decoração e Presentes","22939",446
"Bolsas, Decoração e Presentes","21898",445
"Bolsas, Decoração e Presentes","16258A",445
"Bolsas, Decoração e Presentes","23325",444
"Bolsas, Decoração e Presentes","22250",444
"Bolsas, Decoração e Presentes","72800E",443
"Bolsas, Decoração e Presentes","21289",443
"Bolsas, Decoração e Presentes","85093",442
"Bolsas, Decoração e Presentes","85049H",442
"Bolsas, Decoração e Presentes","85114C",441
"Bolsas, Decoração e Presentes","22123",441
"Bolsas, Decoração e Presentes","84625C",439
"Bolsas, Decoração e Presentes","23419",437
"Bolsas, Decoração e Presentes","21747",437
"Bolsas, Decoração e Presentes","23556",435
"Bolsas, Decoração e Presentes","23049",435
"Bolsas, Decoração e Presentes","21194",435
"Bolsas, Decoração e Presentes","22425",434
"Bolsas, Decoração e Presentes","22701",434
"Bolsas, Decoração e Presentes","23397",434
"Bolsas, Decoração e Presentes","23406",434
"Bolsas, Decoração e Presentes","85180A",433
"Bolsas, Decoração e Presentes","79160",433
"Bolsas, Decoração e Presentes","23357",431
"Bolsas, Decoração e Presentes","23128",431
"Bolsas, Decoração e Presentes","22363",428
"Bolsas, Decoração e Presentes","22981",427
"Bolsas, Decoração e Presentes","17129F",427
"Bolsas, Decoração e Presentes","22068",426
